date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:47	2734/2734	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon.ico?v=68ddf38fd	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/favicon2abd.ico	(from https://www.drk-aspach.de/)
20:49:47	316/316	---M-Z	200	added ('OK')	application/xml	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/browserconfig.xml?v=68ddf38fd	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Favicon/browserconfig2abd.xml	(from https://www.drk-aspach.de/)
20:49:47	35650/35650	---M-Z	200	added ('OK')	text/html	etag:%22d665791001cfd137d2ccee3d389e8ee5-gzip%22	https://www.drk-aspach.de/startseite-ov.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/startseite-ov.html	(from https://www.drk-aspach.de/)
20:49:47	222/222	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Flags/de.svg?a491da9c1549a36b293a6a391739dfda	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Flags/de448a.svg	(from https://www.drk-aspach.de/)
20:49:48	818/818	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Sprites/essential-sprite.svg?5a6512e3afb37ee7cc7d2bd22d55a5c3	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/Sprites/essential-spriteb2cb.svg	(from https://www.drk-aspach.de/)
20:49:48	46153/46153	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20May%202026%2018:49:44%20GMT	https://www.drk-aspach.de/das-drk/adressen.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/das-drk/adressen.html	(from https://www.drk-aspach.de/)
20:49:48	57368/57368	---M-Z	200	added ('OK')	text/html	etag:%2279389ab88bcaa417038c5b5a2dc2ac8f-gzip%22	https://www.drk-aspach.de/das-drk/kontakt/kontaktformular.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/das-drk/kontakt/kontaktformular.html	(from https://www.drk-aspach.de/)
20:49:48	24252/24252	---M-Z	200	added ('OK')	text/html	etag:%22c584e18c55693b412798e0a592c65688-gzip%22	https://www.drk-aspach.de/footer-menue-deutsch/service/sitemap.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/footer-menue-deutsch/service/sitemap.html	(from https://www.drk-aspach.de/)
20:49:49	34688/34688	---M-Z	200	added ('OK')	text/html	etag:%22ef7c27feaa4bc8ca5980429f0a5af045-gzip%22	https://www.drk-aspach.de/footer-menue-deutsch/service/datenschutz.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/footer-menue-deutsch/service/datenschutz.html	(from https://www.drk-aspach.de/)
20:49:49	35053/35053	---M-Z	200	added ('OK')	text/html	etag:%22533f3b3ffa1dff428af740022d001fde-gzip%22	https://www.drk-aspach.de/footer-menue-deutsch/service/impressum.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/footer-menue-deutsch/service/impressum.html	(from https://www.drk-aspach.de/)
20:49:49	45352/45352	---M-Z	200	added ('OK')	text/html	etag:%22a60c45742bb8e1f9ae019f2d24933fb5-gzip%22	https://www.drk-aspach.de/kurse.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/kurse.html	(from https://www.drk-aspach.de/)
20:49:49	29226/29226	---M-Z	200	added ('OK')	text/html	etag:%228b50a0dfca3bffd5ec984ca4b8273caf-gzip%22	https://www.drk-aspach.de/aktuell.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/aktuell.html	(from https://www.drk-aspach.de/)
20:49:49	29539/29539	---M-Z	200	added ('OK')	text/html	etag:%2234acd9aa355a0fdddd916b25fe423ed0-gzip%22	https://www.drk-aspach.de/spenden.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/spenden.html	(from https://www.drk-aspach.de/)
20:49:50	46445/46445	---M-Z	200	added ('OK')	text/html	etag:%22b149d839c66ebbd6fdea18f2559c3da6-gzip%22	https://www.drk-aspach.de/das-drk.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/das-drk.html	(from https://www.drk-aspach.de/)
20:49:50	120303/120303	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Feb%202025%2021:12:16%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/c/2/csm_WhatsApp_Image_2019-04-13_at_20.00.58_ed7df043d2.jpeg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/c/2/csm_WhatsApp_Image_2019-04-13_at_20.00.58_ed7df043d2.jpg	(from https://www.drk-aspach.de/)
